order_id,order_status,order_purchase_timestamp,order_item_count,payment_record_count,item_value,freight_value,item_plus_freight,payment_value,difference_value,difference_cents
ce6d150fb29ada17d2082f4847107665,delivered,2018-01-25 11:17:02,1,1,1299.0,104.66,1403.66,1586.47,182.81,18281
6e5fe7366a2e1bfbf3257dba0af1267f,delivered,2016-10-09 22:36:25,6,1,179.19,108.72,287.91,406.92,119.01,11901
70b742795bc441e94a44a084b6d9ce7a,delivered,2017-08-24 10:29:36,1,1,269.99,196.94,466.93,578.82,111.89,11189
996c7e73600ad3723e8627ab7bef81e4,delivered,2018-07-16 09:58:16,1,1,559.9,28.0,587.9,664.43,76.53,7653
70b7e94ea46d3e8b5bc12a50186edaf0,delivered,2018-01-01 13:06:57,3,1,167.88,45.27,213.15,274.84,61.69,6169
bc2c82b0ef78d2252b6176d1972db7c9,delivered,2017-11-13 21:50:45,3,1,165.0,77.01,242.01,303.02,61.01,6101
af9ffff2ce6b3defd34fd4c78857a379,delivered,2018-02-14 13:10:37,1,1,395.65,17.52,413.17,466.97,53.8,5380
262118ce178bb3e4590a3adcf6d62e6b,delivered,2016-10-06 14:59:56,2,1,119.8,57.94,177.74,126.12,-51.62,-5162
bfdb5bbb06458d600a33d61f5f287472,delivered,2018-02-04 21:08:05,1,1,297.0,51.93,348.93,394.36,45.43,4543
8d9c0dc8d5a2ce804f6b925d8f8e6c1d,delivered,2018-03-19 13:40:14,2,1,209.8,44.65,254.45,293.89,39.44,3944
b7579d24f5b2dd3e20f2e57d0e07d170,delivered,2017-04-21 17:49:46,1,1,447.0,19.28,466.28,504.37,38.09,3809
abf1130bc676c9dcadf91e24f5e30a30,delivered,2018-01-11 16:24:13,4,1,391.6,67.76,459.36,496.89,37.53,3753
b76190a2c095fba255ab46987545a660,delivered,2018-01-16 21:55:29,2,1,196.8,31.11,227.91,263.24,35.33,3533
32720c0c8b42f4c2cdb07cee5ec2444b,delivered,2017-11-24 22:46:55,1,1,139.0,85.75,224.75,259.59,34.84,3484
6b0ac1bdea322c7060eea92feb9e9a6f,delivered,2018-06-28 14:29:37,1,1,264.0,63.87,327.87,362.56,34.69,3469
ee9dfabed586581a184f72e03544b4a2,delivered,2018-01-28 00:28:27,1,1,289.0,18.5,307.5,342.12,34.62,3462
e8295bee3fcc58cbd94f165f36c11f4b,delivered,2017-11-24 02:09:24,1,1,99.9,17.95,117.85,151.93,34.08,3408
dd7a24d1088cf9ed90329fb0dee088f4,delivered,2017-06-27 16:51:49,1,1,249.0,10.31,259.31,293.07,33.76,3376
a69aaa894f707814637e9794aa556f0f,delivered,2018-05-05 20:56:40,1,1,144.8,34.55,179.35,211.87,32.52,3252
513a94a0164453b4777d125b836f7ca1,delivered,2018-06-11 22:14:06,1,1,184.1,24.09,208.19,240.47,32.28,3228
af37018fa60dd6b208ca5c88052cffee,delivered,2018-02-01 21:50:26,2,1,157.3,81.88,239.18,270.34,31.16,3116
3e24e141d5703b84337db96998991424,delivered,2017-09-20 16:10:38,1,1,218.9,17.29,236.19,266.94,30.75,3075
21ff9e52b420083bfc502b827916d069,delivered,2017-07-02 12:09:00,2,1,199.8,35.9,235.7,266.38,30.68,3068
016726239765c18f66826453f39c64e3,delivered,2017-06-14 09:16:44,1,1,219.99,15.14,235.13,265.77,30.64,3064
235a7628971a90567378815bf35d2a67,delivered,2018-02-12 14:39:15,2,1,158.9,29.68,188.58,217.82,29.24,2924
239f380355f65dcb68551f07d16fc4a8,delivered,2018-06-26 15:00:56,1,1,149.0,73.63,222.63,251.63,29.0,2900
a52e6fa2d7c6ecaf73ff5f7f10438339,delivered,2017-01-28 20:09:18,1,1,189.0,18.0,207.0,233.97,26.97,2697
3c845174981c9b87340aa1ce5ef7fc9e,delivered,2018-03-10 20:51:54,1,1,186.97,66.98,253.95,280.8,26.85,2685
3198796f14214053998f8f2eca1c9c59,delivered,2017-05-24 09:12:10,1,1,130.0,42.94,172.94,199.75,26.81,2681
294b7da16c27e408f2137e10de0d9495,delivered,2018-01-19 01:17:29,1,1,181.56,18.52,200.08,226.14,26.06,2606
6f0c925fc5d548afcddeea046d4e30d1,delivered,2018-01-05 17:31:53,1,1,238.0,17.92,255.92,281.89,25.97,2597
1cd8d1567debd198821fe9d46d99b5b1,canceled,2017-09-25 20:16:38,1,1,89.5,15.38,104.88,130.0,25.12,2512
78d7cdfcab0a42ea5428365d6ad0ff34,delivered,2017-05-06 13:36:32,1,1,139.9,15.56,155.46,179.55,24.09,2409
cabb660c11fb7f6bbb5f454ea09c0b9f,delivered,2018-01-31 22:38:08,2,1,229.8,25.01,254.81,278.7,23.89,2389
33a7b8ae888999afb219263e9a36fb77,delivered,2018-08-19 21:37:54,1,1,148.0,27.34,175.34,198.19,22.85,2285
37af0498017bcfbffca8855bdc9ecc6b,delivered,2018-02-16 17:30:56,1,1,153.0,18.32,171.32,193.63,22.31,2231
44be450f0262cf8f77ea4fcab05dafa3,delivered,2017-06-13 19:20:33,1,1,149.0,20.28,169.28,191.32,22.04,2204
00789ce015e7e5791c7914f32bb4fad4,delivered,2017-06-28 23:31:33,1,1,154.0,14.83,168.83,190.81,21.98,2198
2fdb4ded4a31592814f6865adcaf9ea7,delivered,2018-01-29 19:03:39,1,1,189.0,17.89,206.89,228.78,21.89,2189
fd33085945f15975375cd8ec85440511,delivered,2018-08-20 19:34:29,1,1,217.99,16.63,234.62,212.82,-21.8,-2180
