source_name,column_name,data_type,null_count,null_percentage,distinct_count,cardinality_percentage
customers,customer_id,str,0,0.0,99441,100.0
customers,customer_unique_id,str,0,0.0,96096,96.6362
customers,customer_zip_code_prefix,int64,0,0.0,14994,15.0783
customers,customer_city,str,0,0.0,4119,4.1422
customers,customer_state,str,0,0.0,27,0.0272
geolocation,geolocation_zip_code_prefix,int64,0,0.0,19015,1.9012
geolocation,geolocation_lat,float64,0,0.0,717360,71.7243
geolocation,geolocation_lng,float64,0,0.0,717613,71.7496
geolocation,geolocation_city,str,0,0.0,8011,0.801
geolocation,geolocation_state,str,0,0.0,27,0.0027
orders,order_id,str,0,0.0,99441,100.0
orders,customer_id,str,0,0.0,99441,100.0
orders,order_status,str,0,0.0,8,0.008
orders,order_purchase_timestamp,str,0,0.0,98875,99.4308
orders,order_approved_at,str,160,0.1609,90733,91.243
orders,order_delivered_carrier_date,str,1783,1.793,81018,81.4734
orders,order_delivered_customer_date,str,2965,2.9817,95664,96.2018
orders,order_estimated_delivery_date,str,0,0.0,459,0.4616
order_items,order_id,str,0,0.0,98666,87.5863
order_items,order_item_id,int64,0,0.0,21,0.0186
order_items,product_id,str,0,0.0,32951,29.2508
order_items,seller_id,str,0,0.0,3095,2.7474
order_items,shipping_limit_date,str,0,0.0,93318,82.8389
order_items,price,float64,0,0.0,5968,5.2978
order_items,freight_value,float64,0,0.0,6999,6.213
payments,order_id,str,0,0.0,99440,95.7203
payments,payment_sequential,int64,0,0.0,29,0.0279
payments,payment_type,str,0,0.0,5,0.0048
payments,payment_installments,int64,0,0.0,24,0.0231
payments,payment_value,float64,0,0.0,29077,27.9893
reviews,review_id,str,0,0.0,98410,99.1796
reviews,order_id,str,0,0.0,98673,99.4447
reviews,review_score,int64,0,0.0,5,0.005
reviews,review_comment_title,str,87656,88.3415,4527,4.5624
reviews,review_comment_message,str,58247,58.7025,36159,36.4418
reviews,review_creation_date,str,0,0.0,636,0.641
reviews,review_answer_timestamp,str,0,0.0,98248,99.0164
products,product_id,str,0,0.0,32951,100.0
products,product_category_name,str,610,1.8512,73,0.2215
products,product_name_lenght,float64,610,1.8512,66,0.2003
products,product_description_lenght,float64,610,1.8512,2960,8.983
products,product_photos_qty,float64,610,1.8512,19,0.0577
products,product_weight_g,float64,2,0.0061,2204,6.6887
products,product_length_cm,float64,2,0.0061,99,0.3004
products,product_height_cm,float64,2,0.0061,102,0.3096
products,product_width_cm,float64,2,0.0061,95,0.2883
sellers,seller_id,str,0,0.0,3095,100.0
sellers,seller_zip_code_prefix,int64,0,0.0,2246,72.5687
sellers,seller_city,str,0,0.0,611,19.7415
sellers,seller_state,str,0,0.0,23,0.7431
category_translation,product_category_name,str,0,0.0,71,100.0
category_translation,product_category_name_english,str,0,0.0,71,100.0
